Joyce Downing,Northglenn,Colorado,http://www.northglenn.org/mayor-joyce-downing
Don Stephens,Salida,Colorado,http://cityofsalida.com/city-government/mayor/
Andrew Muckle,Superior,Colorado,http://superiorcolorado.gov/TownGovernment/BoardsCommissionsandCommittees/BoardofTrustees/tabid/115/Default.aspx
Stuart Fraser,Telluride,Colorado,http://www.telluride-co.gov/index.aspx?page=14
Bill Finch,Bridgeport,Connecticut,http://www.bridgeportct.gov/mayorspage/Pages/MayorsPage.aspx
Scott D. Jackson,Hamden,Connecticut,http://hamden.com/content/43/79/default.aspx
Pedro E. Segarra,Hartford,Connecticut,http://www.hartford.gov/government/mayor/default.asp
Daniel Drew,Middletown,Connecticut,http://www.cityofmiddletown.com/content/117/121/155/default.aspx
John DeStefano,New Haven,Connecticut,http://www.cityofnewhaven.com/Mayor/index.asp
Daryl Justin Finizio,New London,Connecticut,
Richard Moccia,Norwalk,Connecticut,http://www.norwalkct.org/
Neil M. O'Leary,Waterbury,Connecticut,http://www.waterburyct.org/content/458/461/default.aspx
Scott Slifka,West Hartford,Connecticut,http://www.west-hartford.com/government/
John Picard,West Haven,Connecticut,http://www.cityofwesthaven.com/foundations/store/storepage.asp?page=govern
Michael Smith,Blades,Delaware,
John P. Buchheit III,Delaware City,Delaware,http://www.delawarecity.delaware.gov/mc/index.html
Diane C. Hanson,Dewey Beach,Delaware,http://www.townofdeweybeach.com/Town-Council-and-Staff/
James Ford III,Lewes,Delaware,http://www.ci.lewes.de.us/
Kenneth Branner,Middletown,Delaware,http://www.middletownde.org/
James M. Baker,Wilmington,Delaware,http://www.ci.wilmington.de.us/
Vincent C. Gray,Washington,District of Columbia,http://mayor.dc.gov/DC/Mayor
Susan Gottlieb,Aventura,Florida,http://www.cityofaventura.com/commission/commission.htm
Jean Rosenfield,Bal Harbour,Florida,
Woodrow L. Hay,Boynton Beach,Florida,http://www.boynton-beach.org/government/elected_officials/mayor/index.html
Marilyn Gerber,Coconut Creek,Florida,http://coconutcreek.net/newsite/commission/index.asp
Debby Eisinger,Cooper City,Florida,http://www.coopercityfl.org
James Cason,Coral Gables,Florida,http://www.citybeautiful.net/index.aspx?page=278
Peggy Noland,Deerfield Beach,Florida,http://www.deerfield-beach.com/index.aspx?nid=92
Juan Carlos Bermudez,Doral,Florida,http://www.cityofdoral.com/cityofdoral/index.php?option=com_content&task=view&id=27&Itemid=67
Bruce Mount,Eatonville,Florida,http://www.townofeatonville.org/index.php?option=com_content&view=article&id=9&Itemid=28
Craig Lowe,Gainesville,Florida,http://www.cityofgainesville.org/GOVERNMENT/MayorCityCommission/tabid/362/Default.aspx
Glenn Singer,Golden Beach,Florida,http://www.goldenbeach.us/pages/GoldenBeachFL_Government/council/singer
Charles Sanders,Greenwood,Florida,http://www.jacksoncounty.com/cities.php?id=7
Joy Cooper,Hallandale Beach,Florida,http://www.hallandalebeachfl.gov/index.aspx?nid=28
Peter J. M. Bober,Hollywood,Florida,http://www.hollywoodfl.org/city_commission/mayor.htm
Kenneth Schultz,Hypoluxo,Florida,http://www.hypoluxo.org/256541.html
Mary Lou Hildreth,Keystone Heights,Florida,http://www.keystoneheights.us/government
Gow B. Fields,Lakeland,Florida,http://www.lakelandgov.net/CityGovernment/CityCommissioners.aspx
Patricia Gerard,Largo,Florida,http://www.largo.com/egov/apps/directory/list.egov?path=pro&usr=18
Barrington Russell,Lauderdale Lakes,Florida,http://www.lauderdalelakes.org/index.asp?Type=B_BASIC&SEC={333DA074-7FFD-4010-A235-CEA9A7D35551}
Richard J. Kaplan,Lauderhill,Florida,http://lauderhill-fl.gov/dept_comm.html
Howard Schieferdecker,Maitland,Florida,http://www.itsmymaitland.com/city_council.aspx
Tomas Regalado,Miami,Florida,http://www.miamigov.com/Mayor/pages/
