first_name,last_name,state,middle_name,country,continent,lang_primar,lang_secondary,lang_tertiary,lang_quaternary,search_engine,link,category
enzi,michael,wyoming,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
ernst,joni,iowa,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
escobar,veronica,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
eshoo,anna,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
espaillat,adriano,new york,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
estes,ron,kansas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
evans,dwight,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
feinstein,dianne,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
ferguson,drew,georgia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
finkenauer,abby,iowa,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
fischer,deb,nebraska,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
fitzpatrick,brian,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
fleischmann,charles“chuck”,tennessee,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
fletcher,lizzie,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
flores,bill,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
fortenberry,jeff,nebraska,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
foster,bill,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
foxx,virginia,north carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
frankel,lois,florida,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
fudge,marcia,ohio,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
fulcher,russ,idaho,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gabbard,tulsi,hawaii,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gaetz,matt,florida,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gallagher,mike,wisconsin,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gallego,ruben,arizona,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
garamendi,john,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
garcia,mike,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
garcia,sylvia,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
garcía,jesús,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gardner,cory,colorado,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gianforte,greg,montana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gibbs,bob,ohio,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gillibrand,kirsten,new york,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gohmert,louie,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
golden,jared,maine,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gomez,jimmy,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gonzalez,anthony,ohio,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gonzalez,vicente,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gooden,lance,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gosar,paul,arizona,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
gottheimer,josh,new jersey,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
graham,lindsey,south carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
granger,kay,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
grassley,charles“chuck”,iowa,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
graves,garret,louisiana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
graves,sam,missouri,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
graves,tom,georgia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
green,al,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
green,mark,tennessee,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
griffith,morgan,virginia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
grijalva,raúl,arizona,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
grothman,glenn,wisconsin,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
guest,michael,mississippi,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
guthrie,brett,kentucky,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
haaland,debra,new mexico,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hagedorn,jim,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
harder,josh,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
harris,andy,maryland,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
harris,kamala,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hartzler,vicky,missouri,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hassan,margaret“maggie”,new hampshire,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hastings,alcee,florida,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hawley,joshua,missouri,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hayes,jahana,connecticut,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
heck,denny,washington,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
heinrich,martin,new mexico,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hern,kevin,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
herrerabeutler,jaime,washington,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hice,jody,georgia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
higgins,brian,new york,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
higgins,clay,louisiana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hill,french,arkansas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
himes,james,connecticut,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hirono,mazie,hawaii,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hoeven,john,north dakota,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
holding,george,north carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hollingsworth,trey,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
horn,kendra,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
horsford,steven,nevada,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
houlahan,chrissy,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hoyer,steny,maryland,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hudson,richard,north carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
huffman,jared,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
huizenga,bill,michigan,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hurd,will,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hyde-smith,cindy,mississippi,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
