first_name,last_name,state,middle_name,country,continent,lang_primar,lang_secondary,lang_tertiary,lang_quaternary,search_engine,link,category
omar,ilhan,minnesota,,united states,america,en,,,,,,politicians
o’halleran,tom,arizona,,united states,america,en,,,,,,politicians
palazzo,steven,mississippi,,united states,america,en,,,,,,politicians
pallone,frank,new jersey,,united states,america,en,,,,,,politicians
palmer,gary,alabama,,united states,america,en,,,,,,politicians
panetta,jimmy,california,,united states,america,en,,,,,,politicians
pappas,chris,new hampshire,,united states,america,en,,,,,,politicians
pascrell,bill,new jersey,,united states,america,en,,,,,,politicians
paul,rand,kentucky,,united states,america,en,,,,,,politicians
payne,donald,new jersey,,united states,america,en,,,,,,politicians
pelosi,nancy,california,,united states,america,en,,,,,,politicians
pence,greg,indiana,,united states,america,en,,,,,,politicians
perdue,david,georgia,,united states,america,en,,,,,,politicians
perlmutter,ed,colorado,,united states,america,en,,,,,,politicians
perry,scott,pennsylvania,,united states,america,en,,,,,,politicians
peters,gary,michigan,,united states,america,en,,,,,,politicians
peters,scott,california,,united states,america,en,,,,,,politicians
peterson,collin,minnesota,,united states,america,en,,,,,,politicians
phillips,dean,minnesota,,united states,america,en,,,,,,politicians
pingree,chellie,maine,,united states,america,en,,,,,,politicians
pocan,mark,wisconsin,,united states,america,en,,,,,,politicians
porter,katie,california,,united states,america,en,,,,,,politicians
portman,robert“rob”,ohio,,united states,america,en,,,,,,politicians
posey,bill,florida,,united states,america,en,,,,,,politicians
pressley,ayanna,massachusetts,,united states,america,en,,,,,,politicians
price,david,north carolina,,united states,america,en,,,,,,politicians
quigley,mike,illinois,,united states,america,en,,,,,,politicians
raskin,jamie,maryland,,united states,america,en,,,,,,politicians
reed,john“jack”,rhode island,,united states,america,en,,,,,,politicians
reed,tom,new york,,united states,america,en,,,,,,politicians
reschenthaler,guy,pennsylvania,,united states,america,en,,,,,,politicians
rice,kathleen,new york,,united states,america,en,,,,,,politicians
rice,tom,south carolina,,united states,america,en,,,,,,politicians
richmond,cedric,louisiana,,united states,america,en,,,,,,politicians
riggleman,denver,virginia,,united states,america,en,,,,,,politicians
risch,james,idaho,,united states,america,en,,,,,,politicians
roberts,pat,kansas,,united states,america,en,,,,,,politicians
roby,martha,alabama,,united states,america,en,,,,,,politicians
roe,david“phil”,tennessee,,united states,america,en,,,,,,politicians
rogers,harold“hal”,kentucky,,united states,america,en,,,,,,politicians
rogers,mike,alabama,,united states,america,en,,,,,,politicians
romney,mitt,utah,,united states,america,en,,,,,,politicians
rooney,francis,florida,,united states,america,en,,,,,,politicians
rose,john,tennessee,,united states,america,en,,,,,,politicians
rose,max,new york,,united states,america,en,,,,,,politicians
rosen,jacky,nevada,,united states,america,en,,,,,,politicians
rouda,harley,california,,united states,america,en,,,,,,politicians
rounds,mike,south dakota,,united states,america,en,,,,,,politicians
rouzer,david,north carolina,,united states,america,en,,,,,,politicians
roy,chip,texas,,united states,america,en,,,,,,politicians
roybal-allard,lucille,california,,united states,america,en,,,,,,politicians
rubio,marco,florida,,united states,america,en,,,,,,politicians
ruiz,raul,california,,united states,america,en,,,,,,politicians
ruppersberger,a.dutch,maryland,,united states,america,en,,,,,,politicians
rush,bobby,illinois,,united states,america,en,,,,,,politicians
rutherford,john,florida,,united states,america,en,,,,,,politicians
ryan,tim,ohio,,united states,america,en,,,,,,politicians
sanders,bernard“bernie”,vermont,,united states,america,en,,,,,,politicians
sarbanes,john,maryland,,united states,america,en,,,,,,politicians
sasse,benjamin,nebraska,,united states,america,en,,,,,,politicians
scalise,steve,louisiana,,united states,america,en,,,,,,politicians
scanlon,mary,pennsylvania,,united states,america,en,,,,,,politicians
schakowsky,janice“jan”,illinois,,united states,america,en,,,,,,politicians
schatz,brian,hawaii,,united states,america,en,,,,,,politicians
schiff,adam,california,,united states,america,en,,,,,,politicians
schneider,bradley“brad”,illinois,,united states,america,en,,,,,,politicians
schrader,kurt,oregon,,united states,america,en,,,,,,politicians
schrier,kim,washington,,united states,america,en,,,,,,politicians
schumer,charles“chuck”,new york,,united states,america,en,,,,,,politicians
schweikert,david,arizona,,united states,america,en,,,,,,politicians
scott,austin,georgia,,united states,america,en,,,,,,politicians
scott,david,georgia,,united states,america,en,,,,,,politicians
scott,rick,florida,,united states,america,en,,,,,,politicians
