,first_name,middle_name,last_name,language_id,geographic_zone_id,category_id
416,stitt,NULL,kevin,0,35,0
417,cole,NULL,tom,0,35,0
418,hern,NULL,kevin,0,35,0
419,horn,NULL,kendra,0,35,0
420,inhofe,NULL,james“jim”,0,35,0
421,lankford,NULL,james,0,35,0
422,lucas,NULL,frank,0,35,0
423,mullin,NULL,markwayne,0,35,0
424,brown,NULL,katherine,0,36,0
425,blumenauer,NULL,earl,0,36,0
426,bonamici,NULL,suzanne,0,36,0
427,defazio,NULL,peter,0,36,0
428,merkley,NULL,jeff,0,36,0
429,schrader,NULL,kurt,0,36,0
430,walden,NULL,greg,0,36,0
431,wyden,NULL,ron,0,36,0
432,wolf,NULL,thomas,0,37,0
433,boyle,NULL,brendan,0,37,0
434,cartwright,NULL,matthew,0,37,0
435,casey,NULL,robert“bob”,0,37,0
436,dean,NULL,madeleine,0,37,0
437,doyle,NULL,michael“mike”,0,37,0
438,evans,NULL,dwight,0,37,0
439,fitzpatrick,NULL,brian,0,37,0
440,houlahan,NULL,chrissy,0,37,0
441,joyce,NULL,john,0,37,0
442,keller,NULL,fred,0,37,0
443,kelly,NULL,mike,0,37,0
444,lamb,NULL,conor,0,37,0
445,meuser,NULL,daniel,0,37,0
446,perry,NULL,scott,0,37,0
447,reschenthaler,NULL,guy,0,37,0
448,scanlon,NULL,mary,0,37,0
449,smucker,NULL,lloyd,0,37,0
450,thompson,NULL,glenn,0,37,0
451,toomey,NULL,patrick“pat”,0,37,0
452,wild,NULL,susan,0,37,0
453,raimondo,NULL,gina,0,38,0
454,cicilline,NULL,david,0,38,0
455,langevin,NULL,james“jim”,0,38,0
456,reed,NULL,john“jack”,0,38,0
457,whitehouse,NULL,sheldon,0,38,0
458,mcmaster,NULL,henry,0,39,0
459,clyburn,NULL,james“jim”,0,39,0
460,cunningham,NULL,joe,0,39,0
461,duncan,NULL,jeff,0,39,0
462,graham,NULL,lindsey,0,39,0
463,norman,NULL,ralph,0,39,0
464,rice,NULL,tom,0,39,0
465,scott,NULL,tim,0,39,0
466,timmons,NULL,william,0,39,0
467,wilson,NULL,joe,0,39,0
468,noem,NULL,kristi,0,40,0
469,johnson,NULL,dusty,0,40,0
470,rounds,NULL,mike,0,40,0
471,thune,NULL,john,0,40,0
472,lee,NULL,bill,0,41,0
473,alexander,NULL,lamar,0,41,0
474,blackburn,NULL,marsha,0,41,0
475,burchett,NULL,tim,0,41,0
476,cohen,NULL,steve,0,41,0
477,cooper,NULL,jim,0,41,0
478,desjarlais,NULL,scott,0,41,0
479,fleischmann,NULL,charles“chuck”,0,41,0
