first_name,last_name,state
gary,forbes,toronto
george,hill,indiana
chauncey,billups,los angeles
gilbert,arenas,memphis
glen,davis,orlando
goran,dragic,houston
gordon,hayward,utah
grant,hill,phoenix
greg,monroe,detroit
greg,smith,houston
greg,stiemsma,boston
marreese,speights,memphis
marquis,daniels,boston
gerald,henderson,charlotte
al,horford,atlanta
paul,george,indiana
paul,millsap,utah
aaron,brooks,houston
zaza,pachulia,atlanta
pau,gasol,los angeles
patrick,patterson,sacramento
patrick,beverley,houston
pj,tucker,phoenix
orlando,johnson,indiana
omri,casspi,cleveland
omer,asik,houston
o.j.,mayo,dallas
norris,cole,miami
nolan,smith,portland
nikola,vucevic,orlando
nikola,pekovic,minnesota
zach,randolph,memphis
wilson,chandler,denver
willie,green,los angeles
tyler,zeller,cleveland
tyreke,evans,sacramento
tyrus,thomas,charlotte
tyshawn,taylor, brooklyn
udonis,haslem,miami
viacheslav,kravtsov,detroit
nicolas,batum,portland
victor,claver,portland
vladimir,radmanovic,chicago
wayne,ellington,cleveland
wesley,johnson,phoenix
wesley,matthews,portland
will,barton,portland
will,bynum,detroit
will,conroy,minnesota
vince,carter,dallas
nick,young,philadelphia
nick,collison,oklahoma
matt,barnes,los angeles
marvin,williams,utah
marreese,speights,cleveland
marquis,teague,chicago
marquis,daniels,milwaukee
matt,carroll,charlotte
markieff,morris,phoenix
marcus,thornton,sacramento
marcus,morris,phoenix
marco,belinelli,chicago
marcin,gortat,phoenix
marc,gasol,memphis
marshon,brooks, brooklyn
mario,chalmers,miami
tyler,honeycutt,sacramento
maurice,harkless,orlando
meyers,leonard,portland
nazr,mohammed,chicago
nate,robinson,chicago
monta,ellis,milwaukee
mo,williams,utah
mirza,teletovic, brooklyn
miles,plumlee,indiana
metta,world peace,los angeles
mike,scott,atlanta
mike,james,dallas
mike,dunleavy,milwaukee
mike,conley,memphis
mickael,pietrus,toronto
mickael,gelabale,minnesota
michael,kidd-gilchrist,charlotte
michael,beasley,phoenix
mike,miller,miami
tyler,hansbrough,indiana
troy,murphy,dallas
rodney,stuckey,detroit
rodrigue,beaubois,dallas
ronnie,brewer,oklahoma
ronnie,price,portland
ronny,turiaf,los angeles
roy,hibbert,indiana
royal,ivey,philadelphia
rudy,gay,toronto
russell,westbrook,oklahoma
ryan,hollins,los angeles
sam,young,indiana
samardo,samuels,cleveland
samuel,dalembert,milwaukee
robert,sacre,los angeles
ricky,rubio,minnesota
perry,jones iii,oklahoma
quincy,acy,toronto
quincy,miller,denver
quincy,pondexter,memphis
rajon,rondo,boston
ramon,sessions,charlotte
sasha,pavlovic,portland
randy,foye,utah
ray,allen,miami
reggie,evans, brooklyn
reggie,jackson,oklahoma
reggie,williams,charlotte
richard,hamilton,chicago
rashard,lewis,miami
sebastian,telfair,toronto
serge,ibaka,oklahoma
thaddeus,young,philadelphia
thomas,robinson,houston
tim,ohlbrecht,houston
timofey,mozgov,denver
tobias,harris,orlando
thabo,sefolosha,oklahoma
toney,douglas,sacramento
tony,wroten,memphis
tornike,shengelia, brooklyn
travis,outlaw,sacramento
tristan,thompson,cleveland
tony,allen,memphis
ty,lawson,denver
terrence,williams,boston
terrence,jones,houston
shane,battier,miami
shannon,brown,phoenix
shaun,livingston,cleveland
shavlik,randolph,boston
shawn,marion,dallas
shelvin,mack,atlanta
terrence,ross,toronto
spencer,hawes,philadelphia
steve,blake,los angeles
steve,nash,los angeles
taj,gibson,chicago
tayshaun,prince,memphis
malcolm,thomas,chicago
malcolm,lee,minnesota
maalik,wayns,los angeles
george,hill,indiana
gerald,green,indiana
gerald,henderson,charlotte
gerald,wallace, brooklyn
glen,davis,orlando
goran,dragic,phoenix
gordon,hayward,utah
grant,hill,los angeles
greg,monroe,detroit
greg,smith,houston
